status,run_id,dataset,backbone,method,budget,seed,epochs,best_epoch,adapter_dim,dropout,n_classes,n_train,n_full_train,realized_train_fraction,n_val,n_test,total_params,trainable_params,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,runtime_sec,peak_gpu_mem_gb,stage,_path,width_ablation,shot_k,split_seed
complete,fathomnet__scratch_cnn__scratch_cnn__b010__s44,fathomnet,scratch_cnn,scratch_cnn,010,44,10,10,128,0.1,79,1709,16688,0.10240891658676894,3622,3389,409199,409199,0.11816675869685257,0.0781855599463687,0.13176106170889282,0.13189731484213632,0.08476958294404931,0.12418728330287448,124.2486252784729,2.5113916397094727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b010__s44/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b005__s42,fathomnet,scratch_cnn,scratch_cnn,005,42,10,10,128,0.1,79,875,16688,0.05243288590604027,3622,3389,409199,409199,0.10242959690778575,0.06585377221133813,0.10812040063769593,0.11625848332841546,0.07689841265940295,0.1166023369152142,123.75361180305481,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b005__s42/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b010__s43,aqua20,scratch_cnn,scratch_cnn,010,43,10,8,128,0.1,20,592,5842,0.10133515919205752,1164,1165,394036,394036,0.38917525773195877,0.08099850526305281,0.09257592196286135,0.39742489270386266,0.09201271742154539,0.10320499707072713,48.556838035583496,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b010__s43/result.json,,,
complete,fathomnet__resnet18__marine_adapter__b100__s42,fathomnet,resnet18,marine_adapter,100,42,10,10,64,0.1,79,16688,16688,1.0,3622,3389,11284175,107663,0.5220872446162341,0.5151190964214651,0.5297536412331382,0.5181469460017705,0.5091187422834837,0.5222612813508896,453.3723843097687,0.5993618965148926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b100__s42/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b100__s43,fathomnet,resnet18,marine_adapter,100,43,10,10,64,0.1,79,16688,16688,1.0,3622,3389,11284175,107663,0.5196024295969078,0.512675118246264,0.5292768382143415,0.5169666568309236,0.5087348722946712,0.5194251494827579,456.3129553794861,0.5993618965148926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b100__s43/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b010__s42,fathomnet,resnet18,marine_adapter,010,42,10,9,64,0.1,79,1709,16688,0.10240891658676894,3622,3389,11284175,107663,0.2150745444505798,0.19851952623340705,0.23023083454153323,0.2112717615815875,0.1889703236818967,0.21455936599116512,140.06966614723206,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b010__s42/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b010__s44,fathomnet,resnet18,marine_adapter,010,44,10,10,64,0.1,79,1709,16688,0.10240891658676894,3622,3389,11284175,107663,0.23771397018221976,0.22200053060084196,0.2520434558225731,0.23723812334021835,0.2153898745454191,0.2421315435145192,138.54369854927063,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b010__s44/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b100__s46,fathomnet,resnet18,marine_adapter,100,46,10,10,64,0.1,79,16688,16688,1.0,3622,3389,11284175,107663,0.5157371617890668,0.5055598599443937,0.5253110953096558,0.5160814399527884,0.5051282449038937,0.5195857309394396,454.87656021118164,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b100__s46/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b010__s45,fathomnet,resnet18,marine_adapter,010,45,10,10,64,0.1,79,1709,16688,0.10240891658676894,3622,3389,11284175,107663,0.24599668691330756,0.22165243585025862,0.2520864769217339,0.23664797875479493,0.21815485559686806,0.2486983212826655,134.69453597068787,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b010__s45/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b010__s46,fathomnet,resnet18,marine_adapter,010,46,10,10,64,0.1,79,1709,16688,0.10240891658676894,3622,3389,11284175,107663,0.23826615129762563,0.21705572642189525,0.253227269930027,0.23989377397462378,0.21284926095769205,0.249986665833739,136.42070508003235,0.5993618965148926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b010__s46/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b100__s44,fathomnet,resnet18,marine_adapter,100,44,10,7,64,0.1,79,16688,16688,1.0,3622,3389,11284175,107663,0.5196024295969078,0.5101570405442817,0.52896534236233,0.5045736205370316,0.4935395422810394,0.5084574768717228,446.7603418827057,0.5993618965148926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b100__s44/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b010__s43,fathomnet,resnet18,marine_adapter,010,43,10,10,64,0.1,79,1709,16688,0.10240891658676894,3622,3389,11284175,107663,0.23522915516289342,0.20731346971595652,0.24829994378895995,0.21068161699616406,0.1839656208756044,0.22340861588665376,136.0858929157257,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b010__s43/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b100__s45,fathomnet,resnet18,marine_adapter,100,45,10,9,64,0.1,79,16688,16688,1.0,3622,3389,11284175,107663,0.5281612368856985,0.5203718645326973,0.5404748957028984,0.519622307465329,0.509053650545592,0.5231705960135132,451.83921003341675,0.5989956855773926,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r64/fathomnet__resnet18__marine_adapter__b100__s45/result.json,True,,
complete,fathomnet__resnet18__marine_adapter__b100__s42,fathomnet,resnet18,marine_adapter,100,42,10,9,256,0.1,79,16688,16688,1.0,3622,3389,11480975,304463,0.5427940364439536,0.5364455802915437,0.5523567523519723,0.540277367955149,0.5329046779336939,0.5444840159843635,440.04750180244446,0.6022934913635254,width,MARINE_EXPERIMENTS_V2/FULL_SUITE/width/r256/fathomnet__resnet18__marine_adapter__b100__s42/result.json,True,,
