dataset,backbone,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
aqua20,resnet18,marine_adapter,005,5,0.07968410991640966,0.010288594717572761,0.07218770292035048,0.08842970888671493,0.48377682403433475,0.03005885536830076,0.46197424892703864,0.5088412017167382,0.09404363420902892,0.010494791324520084,0.08634467157120404,0.10304700354977195
aqua20,resnet18,mlp_head,005,5,0.10289266521496061,0.005195388591602681,0.09953338386967722,0.10741495711224076,0.5565665236051502,0.00833546670304564,0.5503862660944205,0.5632618025751073,0.11531603688942309,0.0035190084915577065,0.11256025773172725,0.11807181604711894
aqua20,resnet18,full_finetune,010,5,0.17220252000691966,0.01751474383843413,0.15912309090047455,0.18546589640829636,0.6219742489270387,0.01705542895384693,0.608755364806867,0.6351931330472104,0.1663953624885265,0.01228837737015198,0.15738747621094273,0.1765287621819031
aqua20,resnet18,last_block_ft,010,5,0.15000859344988113,0.008613630239594385,0.1445094795822746,0.15729331700867782,0.6130472103004292,0.0124596643324716,0.6030901287553648,0.6230042918454937,0.1515115513134198,0.006627983925982286,0.14681740070509391,0.15704734848589494
aqua20,resnet18,linear_probe,010,5,0.05438520351015297,0.008772605493215022,0.04750462225766065,0.061265784762645284,0.3749356223175966,0.032895812839712324,0.3486695278969957,0.40120171673819743,0.06632031572888959,0.007775509104064214,0.0601863389648364,0.0724542924929428
aqua20,resnet18,marine_adapter,010,5,0.11621326080918074,0.017961698092225257,0.10357286862228614,0.13217296662496433,0.567038626609442,0.020309092689919702,0.5510729613733906,0.5830042918454936,0.12478227248410811,0.013170661729913158,0.11485360922117929,0.1355758488243904
aqua20,resnet18,mlp_head,010,5,0.18561429095784088,0.023784941028039828,0.1667807393070317,0.20347570176695343,0.6317596566523604,0.014143568286080746,0.6195708154506439,0.6413733905579398,0.1791942794969029,0.019556718279547435,0.16330880900523215,0.1937348596787687
aqua20,resnet18,full_finetune,100,5,0.6433200371503304,0.014740580350567122,0.6309417582720035,0.6539966517267599,0.8460085836909871,0.004007765675512042,0.8432618025751072,0.8492703862660946,0.6240995891680953,0.01630677664869594,0.6103883195031374,0.6353701355026234
aqua20,resnet18,last_block_ft,100,5,0.6260672102990675,0.008937742143146422,0.618963428221761,0.6331709923763741,0.8374248927038626,0.0015593049033978366,0.8362231759656652,0.83862660944206,0.6021525085794435,0.005900526205627127,0.5970297682258574,0.606412448525187
aqua20,resnet18,linear_probe,100,5,0.42529994096354046,0.017803267036068035,0.41140749015198114,0.4391923917750999,0.7416309012875537,0.0053260401914123874,0.7375107296137339,0.7457510729613734,0.38099794103678647,0.01241036144562279,0.3714521760337207,0.3905437060398521
