dataset,backbone,budget,contrast,method_a,method_b,n_pairs,mean_a,mean_b,mean_delta,delta_ci_low,delta_ci_high,wins,ties,losses,cohen_dz,p_exact_signflip,p_holm
fathomnet,resnet18,005,FullFT - LastBlock,full_finetune,last_block_ft,5,0.15511664001615777,0.17779946629975954,-0.02268282628360177,-0.025874527493897632,-0.01969215447188074,0,0,5,-5.826569430622696,0.0625,1.0
fathomnet,resnet18,010,FullFT - LastBlock,full_finetune,last_block_ft,5,0.27376407372641876,0.3030573387091303,-0.029293264982711585,-0.03426870460892402,-0.024031926171388142,0,0,5,-4.475472436072468,0.0625,1.0
fathomnet,resnet18,100,FullFT - LastBlock,full_finetune,last_block_ft,5,0.6897319753352402,0.643316751737995,0.04641522359724522,0.04384834508738307,0.048982102107107364,5,0,0,14.178855614892585,0.0625,1.0
aqua20,dinov2_small,001,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.1465898709876642,0.08015722393115768,0.0664326470565065,0.037837869557176364,0.1015849440071976,5,0,0,1.6368787702728962,0.0625,1.0
aqua20,dinov2_small,005,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.386168321108611,0.14711521983492631,0.23905310127368468,0.21288748985984043,0.25766963331344955,5,0,0,7.956659666193041,0.0625,1.0
aqua20,dinov2_small,010,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.5433413702439718,0.24105687301854148,0.30228449722543027,0.2753381423478682,0.32319145762974294,5,0,0,10.237217567407521,0.0625,1.0
aqua20,dinov2_small,100,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.8766222240100727,0.8342228546231677,0.04239936938690494,0.01195442205377415,0.06424216047182141,4,0,1,1.2070490826002827,0.125,1.0
aqua20,resnet18,001,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.06744578144122773,0.05615296236802556,0.011292819073202166,-0.009761327146517812,0.030329777533683416,3,0,2,0.4368322088180059,0.375,1.0
aqua20,resnet18,005,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.10414269928116862,0.07968410991640969,0.02445858936475894,0.013699833265151715,0.03584450711590148,5,0,0,1.6795665499136923,0.0625,1.0
aqua20,resnet18,010,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.15000859344988116,0.11621326080918074,0.033795332640700414,0.014394086649490045,0.05206479652068069,4,0,1,1.4204249905963502,0.125,1.0
aqua20,resnet18,100,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.6260672102990676,0.6445971555840485,-0.01852994528498093,-0.034235011487766795,-0.0028248790821950643,1,0,4,-0.9147554026688799,0.125,1.0
fathomnet,dinov2_small,001,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.06256677259680304,0.03142561225073293,0.03114116034607011,0.020511890176246106,0.04290080276266042,5,0,0,2.214755003937971,0.0625,1.0
fathomnet,dinov2_small,005,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.30704006732669686,0.18892004286007516,0.1181200244666217,0.10221517993335835,0.12894120634513745,5,0,0,6.565171686487776,0.0625,1.0
fathomnet,dinov2_small,010,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.46695614232588245,0.34831704088835425,0.1186391014375282,0.10531478692228817,0.1308383603653249,5,0,0,7.19198195418302,0.0625,1.0
fathomnet,dinov2_small,100,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.7292882453641523,0.666267923025951,0.06302032233820135,0.059153801753108734,0.06617271128208446,5,0,0,14.450436902519082,0.0625,1.0
fathomnet,resnet18,001,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.035731413096280425,0.028308392373529966,0.007423020722750457,0.0027983699940437464,0.013192936243722597,5,0,0,1.0938475997479826,0.0625,1.0
fathomnet,resnet18,005,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.17779946629975954,0.1273525479768133,0.05044691832294623,0.0451757645242019,0.055718072121690554,5,0,0,7.639942234638085,0.0625,1.0
fathomnet,resnet18,010,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.3030573387091303,0.23285237312131324,0.07020496558781705,0.0629746214369333,0.07745290656520398,5,0,0,7.290255204421866,0.0625,1.0
fathomnet,resnet18,100,LastBlock - Adapter,last_block_ft,marine_adapter,5,0.643316751737995,0.5172698207327762,0.12604693100521883,0.12161023765762576,0.13048362435281188,5,0,0,22.288138390503146,0.0625,1.0
